plate_id,plate_index,row,column,sample_id,sample_id2,species,reassign,rename,sex,latitude,longitude,year,month
plate2,92,H,8,kac_161,kac161,terrestris,terrestris,kac161_terrestris,?,32.417444,-85.471168,2019,4
plate2,93,H,9,kac_187,kac187,americanus,americanus,kac187_americanus,m,32.645479,-85.551346,2020,2
plate2,94,H,10,kac_211,kac211,terrestris,terrestris,kac211_terrestris,m,33.014643,-86.609949,2020,4
plate2,95,H,11,kac_221,kac221,americanus,americanus,kac221_americanus,j,32.963888,-86.425495,2020,4
plate2,96,H,12,kac_232,kac232,terrestris,terrestris,kac232_terrestris,?,30.809216,-86.789938,2020,5
plate3,1,A,1,kac_2018-02-17-01,kac2018021701,americanus,americanus,kac2018021701_americanus,?,33.55274,-85.829132,2018,2
plate3,2,A,2,kac_2018-02-17-04,kac2018021704,americanus,americanus,kac2018021704_americanus,?,33.485484,-85.888566,2018,2
plate3,3,A,3,kac_2018-02-17-05,kac2018021705,americanus,americanus,kac2018021705_americanus,?,33.316494,-86.052932,2018,2
plate3,4,A,4,kac_2018-02-17-06,kac2018021706,americanus,americanus,kac2018021706_americanus,?,33.284428,-86.084432,2018,2
plate3,5,A,5,kac_2018-02-17-07,kac2018021707,americanus,americanus,kac2018021707_americanus,?,33.245762,-86.081675,2018,2
plate3,6,A,6,kac_2018-03-10-1,kac201803101,americanus,americanus,kac201803101_americanus,?,32.910571,-86.092722,2018,3
plate3,7,A,7,kac_2018-03-10-2,kac201803102,americanus,fowleri,kac201803102_fowleri,?,32.931161,-86.084646,2018,3
plate3,8,A,8,kac_2018-03-10-3,kac201803103,americanus,americanus,kac201803103_americanus,?,32.951037,-86.145395,2018,3
plate3,9,A,9,kac_2018-03-10-4,kac201803104,americanus,americanus,kac201803104_americanus,?,32.897867,-86.26061,2018,3
plate3,10,A,10,kac_2018-03-10-5,kac201803105,americanus,americanus,kac201803105_americanus,?,32.816418,-86.38018,2018,3
plate3,11,A,11,kac_2018-08-18-1,kac201808181,terrestris,terrestris,kac201808181_terrestris,?,30.669021,-81.440135,2018,8
plate3,12,A,12,kac_2018-08-18-2,kac201808182,terrestris,terrestris,kac201808182_terrestris,?,30.669021,-81.440135,2018,8
plate3,13,B,1,kac_2018-08-18-3,kac201808183,terrestris,terrestris,kac201808183_terrestris,?,30.432818,-81.640876,2018,8
plate3,14,B,2,kac_2018-08-18-4,kac201808184,terrestris,terrestris,kac201808184_terrestris,?,30.669021,-81.440135,2018,8
plate3,15,B,3,kac_2019-08-25-1,kac201908251,americanus,americanus,kac201908251_americanus,j,34.218521,-87.366617,2019,8
plate3,16,B,4,kac_2019-08-25-2,kac201908252,americanus,fowleri,kac201908252_fowleri,j,34.218521,-87.366617,2019,8
plate3,17,B,5,msb_75646,msb75646,speciosus,speciosus,msb75646_speciosus,,33.36365042,-104.3428216,2009,
plate3,18,B,6,msb_92689,msb92689,baxteri,baxteri,msb92689_baxteri,,41.211821,-105.8255766,2002,
plate3,19,B,7,msb_92691,msb92691,baxteri,baxteri,msb92691_baxteri,,41.211821,-105.8255766,2002,
plate3,20,B,8,msb_92692,msb92692,baxteri,baxteri,msb92692_baxteri,,41.211821,-105.8255766,2002,
plate3,21,B,9,msb_96528,msb96528,debilis,debilis,msb96528_debilis,,32.582385,-107.463482,2015,
plate3,22,B,10,msb_98058,msb98058,woodhousii,woodhousii,msb98058_woodhousii,,32.8336,-108.609,2017,
plate3,23,B,11,msb_98065,msb98065,cognatus,cognatus,msb98065_cognatus,,32.6324,-108.738,2016,
plate3,24,B,12,msb_100793,msb100793,microscaphus,microscaphus,msb100793_microscaphus,,37.27153801,-114.464781,2020,
plate3,25,C,1,msb_100800,msb100800,woodhousii,woodhousii,msb100800_woodhousii,,36.73611667,-114.2197167,2020,
plate3,26,C,2,msb_100913,msb100913,microscaphus,microscaphus,msb100913_microscaphus,,33.280379,-108.088683,2020,
plate3,27,C,3,msb_104548,msb104548,woodhousii,woodhousii,msb104548_woodhousii,,36.49094,-103.20838,2021,
plate3,28,C,4,msb_104570,msb104570,fowleri_woodhousii_intergrade,fowleri_woodhousii_intergrade,msb104570_fowleri_woodhousii_intergrade,,34.00087,-95.38229,2021,
plate3,29,C,5,msb_104571,msb104571,americanus,americanus,msb104571_americanus,,34.00917,-95.38058,2021,
plate3,30,C,6,msb_104608,msb104608,americanus,americanus,msb104608_americanus,,34.00367,-94.8267,2021,
plate3,31,C,7,msb_104644,msb104644,americanus,americanus,msb104644_americanus,,36.95124,-94.27782,2021,
plate3,32,C,8,msb_104677,msb104677,cognatus,cognatus,msb104677_cognatus,,46.39834,-97.20927,2021,
plate3,33,C,9,msb_104681,msb104681,hemiophrys,hemiophrys,msb104681_hemiophrys,,46.47076,-97.04604,2021,
plate3,34,C,10,msb_104731,msb104731,woodhousii,woodhousii,msb104731_woodhousii,,42.61091,-100.65607,2021,
plate3,35,C,11,utep_18705,utep18705,woodhousii,woodhousii,utep18705_woodhousii,,32.45198333,-106.8831667,2002,
plate3,36,C,12,utep_19941,utep19941,woodhousii,fowleri,utep19941_fowleri,,34.79136667,-88.95715,2009,
plate3,37,D,1,utep_19943,utep19943,woodhousii,fowleri,utep19943_fowleri,,33.81998333,-88.29533333,2009,
