"plate_id","plate_index","row","column","sample_id","sample_id2","species","reassign","rename","sex","latitude","longitude","year","month","group"
"plate3",50,"E",2,"aht_2456","aht2456","terrestris","terrestris","aht2456_terrestris","",32.194943,-89.236288,NA,"",3
"plate3",52,"E",4,"aht_2564","aht2564","terrestris","terrestris","aht2564_terrestris","",31.55752,-84.04267,NA,"",3
"plate3",53,"E",5,"aht_2885","aht2885","terrestris","terrestris","aht2885_terrestris","",32.450895,-86.15934,NA,"",3
"plate3",54,"E",6,"aht_3413","aht3413","fowleri","fowleri","aht3413_fowleri","",33.3694,-88.12941,NA,"",3
"plate3",55,"E",7,"aht_3419","aht3419","terrestris","terrestris","aht3419_terrestris","",33.6729,-88.16068,NA,"",3
"plate3",56,"E",8,"aht_3421","aht3421","terrestris","terrestris","aht3421_terrestris","",33.6542,-88.1558,NA,"",3
"plate3",57,"E",9,"aht_3428","aht3428","terrestris","terrestris","aht3428_terrestris","",31.12679,-86.54755,NA,"",3
"plate3",58,"E",10,"aht_3459","aht3459","americanus","americanus","aht3459_americanus","",34.88028,-87.71849,NA,"",4
"plate3",59,"E",11,"aht_3460","aht3460","americanus","americanus","aht3460_americanus","",33.78013,-85.58421,NA,"",4
"plate3",60,"E",12,"aht_3461","aht3461","americanus","americanus","aht3461_americanus","",34.88779,-87.74103,NA,"",4
"plate3",61,"F",1,"aht_3462","aht3462","americanus","americanus","aht3462_americanus","",33.77001,-85.55434,NA,"",4
"plate3",62,"F",2,"aht_3463","aht3463","americanus","americanus","aht3463_americanus","",33.71125,-85.59762,NA,"",4
"plate3",63,"F",3,"aht_3658","aht3658","fowleri","fowleri","aht3658_fowleri","",32.85842,-86.39697,NA,"",1
"plate3",64,"F",4,"aht_3665","aht3665","fowleri","fowleri","aht3665_fowleri","",32.8122,-86.17698,NA,"",1
"plate3",66,"F",6,"aht_3833","aht3833","terrestris","terrestris","aht3833_terrestris","",31.00422,-85.03427,NA,"",3
"plate3",67,"F",7,"aht_3997","aht3997","fowleri","terrestris","aht3997_terrestris","",32.556071,-88.299749,NA,"",3
"plate3",68,"F",8,"aht_3998","aht3998","fowleri","terrestris","aht3998_terrestris","",32.556071,-88.299749,NA,"",3
"plate3",69,"F",9,"aht_4373","aht4373","americanus","americanus","aht4373_americanus","",38.9491342,-95.3981792,NA,"",4
"plate3",71,"F",11,"aht_5277","aht5277","terrestris","terrestris","aht5277_terrestris","",31.158302,-86.554303,NA,"",3
"plate3",72,"F",12,"aht_5278","aht5278","terrestris","terrestris","aht5278_terrestris","",31.16105,-86.69868,NA,"",3
"plate3",73,"G",1,"hera_10025","hera10025","fowleri","fowleri","hera10025_fowleri","",37.11150607,-84.11811984,NA,"",1
"plate3",74,"G",2,"hera_10233","hera10233","americanus","americanus","hera10233_americanus","",39.86452751,-85.01036538,NA,"",4
"plate3",75,"G",3,"hera_10239","hera10239","americanus","americanus","hera10239_americanus","",38.99151321,-92.31077915,NA,"",4
"plate3",76,"G",4,"hera_10248","hera10248","americanus","americanus","hera10248_americanus","",41.27318745,-73.38973589,NA,"",4
"plate3",77,"G",5,"hera_10255","hera10255","americanus","americanus","hera10255_americanus","",37.11150607,-84.11811984,NA,"",4
"plate3",78,"G",6,"hera_10350","hera10350","americanus","americanus","hera10350_americanus","",45.51395705,-69.95928163,NA,"",4
"plate3",79,"G",7,"hera_10372","hera10372","americanus","americanus","hera10372_americanus","",42.22794785,-79.36759006,NA,"",4
"plate3",80,"G",8,"hera_10396","hera10396","fowleri","fowleri","hera10396_fowleri","",41.80663095,-72.73281062,NA,"",1
